Item,ID
apple,1102644
arhar (tur),1977550
baby food,1102843
bajra & products,1799770
banana,1102653
barley & products,2072684
beef,2038522
beer,547462
berries,1102699
besan,2091506
black pepper,170931
bread (bakery),1100621
brinjal,2024758
butter,171314
cabbage,1103343
carrot,1103193
cashewnut,1100517
cauliflower,1103345
"cereal substitutes (tapioca, jackfruit seed etc.)",174687
chicken,2029648
chillis (green),170497
coconut,1100523
coconut oil,1103857
coconut: green,1100522
cake,2120496
cold beverages: bottled/canned,422335
country liquor,1104484
curd,1919204
curry powder,1155520
dates,1102631
dhania,170922
dry chillies,168570
fish (fresh),1028841
french beans and barbati,2216557
fruit juice and shake,2121048
garlic,1103354
ghee,1103844
ginger,1937534
goat meat,175304
gacs,1948447
"gourd, pumpkin",168448
grapes,1102665
groundnut,1100536
groundnut oil,1750348
guava,1102666
gur,1942595
honey,1103956
ice-cream,1607231
jackfruit,174687
jeera,1915741
jowar & products,2058624
kharbooza,1102655
khesari,1103366
"khoi, lawa",1886719
lady's finger,2008520
leechi,1102668
lemon,1102594
maida,2091229
maize & products,2155640
mango,1102670
masur,172420
milk : condensed/ powder,508611
milk: liquid,1909132
mineral water,494545
moong,1100404
mustard oil,172337
oilseeds,598232
onion,1103364
"orange,mausami",1102597
palak,1103153
papaya,169926
peas-vegetables,170419
pickles,1103686
pineapple,1102688
pork,168287
potato,1102879
radish,1103374
ragi & products,1144812
"raisin (kishmish, monacca, etc.)",1102640
"refined oil [sunflower, soyabean, saffola, etc.]",2129576
rice - other sources,2077766
salt,173468
"sauce, jam, jelly",2031743
sugar -other sources,1103933
"suji, rawa",1126152
tamarind,1102697
tea; leaf,1104262
toddy,561783
tomato,1103276
turmeric,172231
urd,1898206
"vanaspati, margarine",1103828
walnut,2118446
watermelon,1102698
wheat/atta - other sources,522973